State,PVI
Alabama,R+13
Alaska,R+13
Arizona,R+6 
Arkansas,R+9 
California,D+7 
Colorado,EVEN
Connecticut,D+7 
Delaware,D+7 
District of Columbia,D+39
Florida,R+2 
Georgia,R+7 
Hawaii,D+12
Idaho,R+17
Illinois,D+8 
Indiana,R+6 
Iowa,D+1 
Kansas,R+12
Kentucky,R+10
Louisiana,R+10
Maine,D+5 
Maryland,D+9 
Massachusetts,D+12
Michigan,D+4 
Minnesota,D+2 
Mississippi,R+10
Missouri,R+3 
Montana,R+7 
Nebraska,R+13
Nevada,D+1 
New Hampshire,D+2 
New Jersey,D+4 
New Mexico,D+2 
New York,D+10
North Carolina,R+4 
North Dakota,R+10
Ohio,R+1 
Oklahoma,R+17
Oregon,D+4 
Pennsylvania,D+2 
Rhode Island,D+11
South Carolina,R+8 
South Dakota,R+9 
Tennessee,R+9 
Texas,R+10
Utah,R+20
Vermont,D+13
Virginia,R+2 
Washington,D+5 
West Virginia,R+8 
Wisconsin,D+2 
Wyoming,R+20
